# -*- ck2.history.provinces -*-

# 233 - Genoa

# County Title
title = c_genoa

# Settlements
max_settlements = 7

b_genoa = city
b_rapallo = city
b_lavagna = castle
b_sarzana = temple
b_la_spezia = city
#b_portovenere = castle
#b_chivari = castle
#b_pietra_ligure = castle


# Misc
culture = ligurian
religion = catholic
terrain = orc_grass_flat
# History

1000.1.1 = { 
	b_genoa = ct_wall_1
	b_genoa = ct_wall_2
	b_genoa = ct_port_1
	b_genoa = ct_port_2
	b_genoa = ct_port_3
	b_genoa = ct_marketplace_1
	b_genoa = ct_marketplace_2
	b_genoa = ct_wall_q_1
	b_genoa = ct_barracks_1
	b_genoa = ct_training_grounds_1
	b_lavagna = c_local_noble_1
	b_lavagna = c_light_cavalry_1
	b_lavagna = c_light_infantry_1
	b_lavagna = c_manor_wooden_walls
	b_lavagna = c_manor_wooden_walls
        trade_post = b_doria
        b_pietra_ligure = castle
}

