#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
armor_hauberk;Hauberk;;;;;;;;;;;;;x
armor_lamellar;Lamellar Armor;;;;;;;;;;;;;x
armor_scale_golden;Magnificient Scale Armor;;;;;;;;;;;;;x
armor_scale;Scale Armor;;;;;;;;;;;;;x
helmet_mail;Mail Coif;;;;;;;;;;;;;x
helmet_nasal;Nasal Helmet;;;;;;;;;;;;;x
helmet_kettle;Kettle Hat;;;;;;;;;;;;;x
helmet_early_helm;Broad Helmet;;;;;;;;;;;;;x
helmet_early_helm_2;Pot Helmet;;;;;;;;;;;;;x
helmet_full_helm;Great Helm;;;;;;;;;;;;;x
helmet_nasal_steppe_q_3;Magnificent Nasal Helmet;;;;;;;;;;;;;x
helmet_kettle_byzantine;Brimmed Helmet;;;;;;;;;;;;;x
helmet_early_helm_anglo_q_3;Magnificent Face Helm;;;;;;;;;;;;;x
armor_light_mail;Mail Shirt;;;;;;;;;;;;;x
armor_hauberk_magnificent;Magnificent Hauberk;;;;;;;;;;;;;x
armor_lamellar_golden;Magnificent Lamellar Armor;;;;;;;;;;;;;x
helmet_nasal_steppe;Nasal Helmet;;;;;;;;;;;;;x
helmet_nasal_anglo;Nasal Helmet;;;;;;;;;;;;;x
helmet_nasal_byzantine;Magnificent Nasal Helmet;;;;;;;;;;;;;x
