#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
focus_ch_honesty_humility_title;Honesty-Humility;;;;;;;;;;;;;x
focus_ch_honesty_humility_desc;Persons with very high scores on the Honesty-Humility scale avoid manipulating others for personal gain, feel little temptation to break rules, are uninterested in lavish wealth and luxuries, and feel no special entitlement to elevated social status.;;;;;;;;;;;;;x
focus_ch_emotionality_title;Emotionality;;;;;;;;;;;;;x
focus_ch_emotionality_desc;Persons with very high scores on the Emotionality scale experience fear of physical dangers, experience anxiety in response to life's stresses, feel a need for emotional support from others, and feel empathy and sentimental attachments with others.;;;;;;;;;;;;;x
focus_ch_extraversion_title;Extraversion;;;;;;;;;;;;;x
focus_ch_extraversion_desc;Persons with very high scores on the Extraversion scale feel positively about themselves, feel confident when leading or addressing groups of people, enjoy social gatherings and interactions, and experience positive feelings of enthusiasm and energy.;;;;;;;;;;;;;x
focus_ch_agreeableness_title;Agreeableness ;;;;;;;;;;;;;x
focus_ch_agreeableness_desc;Persons with very high scores on the Agreeableness scale forgive the wrongs that they suffered, are lenient in judging others, are willing to compromise and cooperate with others, and can easily control their temper. ;;;;;;;;;;;;;x
focus_ch_conscientiousness_title;Conscientiousness;;;;;;;;;;;;;x
focus_ch_conscientiousness_desc;Persons with very high scores on the Conscientiousness scale organize their time and their physical surroundings, work in a disciplined way toward their goals, strive for accuracy and perfection in their tasks, and deliberate carefully when making decisions. ;;;;;;;;;;;;;x
focus_ch_openness_to_experience_title;Openness to Experience;;;;;;;;;;;;;x
focus_ch_openness_to_experience_desc;Persons with very high scores on the Openness to Experience scale become absorbed in the beauty of art and nature, are inquisitive about various domains of knowledge, use their imagination freely in everyday life, and take an interest in unusual ideas or people.;;;;;;;;;;;;;x
focus_ed_etiquette_title;Etiquette;;;;;;;;;;;;;x
focus_ed_etiquette_desc;Focus the child on perfecting his etiquette knowledge;;;;;;;;;;;;;x
focus_ed_martial_arts_title;Martial;;;;;;;;;;;;;x
focus_ed_martial_arts_desc;Focus the child on riding, fighting and improving his martial abilities;;;;;;;;;;;;;x
focus_ed_knowledge_title;Knowledge;;;;;;;;;;;;;x
focus_ed_knowledge_desc;Focus the child on improving his reading and written skills as well as religious;;;;;;;;;;;;;x
focus_ed_theology_title;Theology;;;;;;;;;;;;;x
focus_ed_theology_desc;For children destined to a religious career, learning theology is the foremost activity;;;;;;;;;;;;;x
faithful;Faithful;;;;;;;;;;;;;x
honest;Honest;;;;;;;;;;;;;x
sincere;Sincere;;;;;;;;;;;;;x
generous;Generous;;;;;;;;;;;;;x
humble;Humble;;;;;;;;;;;;;x
pretentious;Pretentious;;;;;;;;;;;;;x
greedy;Greedy;;;;;;;;;;;;;x
inconstant;Inconstant;;;;;;;;;;;;;x
deceitful;Deceitful;;;;;;;;;;;;;x
