#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MILITARY_THEME_TITLE;Thema [This.GetBaseName];;;;;;;;;;;;;x
FAMILY_COUNT_TITLE;[target_military_theme_holder.GetOnlyDynastyName] Family;;;;;;;;;;;;;x
FAMILY_COUNT_TITLE_HIGH_OFFICE;[target_central_judicial_official_holder.GetOnlyDynastyName] Family;;;;;;;;;;;;;x
family_elective;Family Elective;;;;;;;;;;;;;x
succ_roman_family_elective;Roman Family Succession;;;;;;;;;;;;;x
greek;Rhomaîos;Rhomaîos;Rhomaîos;Rhomaîos;Rhomaîos;;;;;;;;;x
k_megas_domestikos;Scholae Palatinae;;;;;;;;;;;;;x
k_megas_droungarios;Imperial Fleet;;;;;;;;;;;;;x
roman_administration_fire_official;Fire Official;;;;;;;;;;;;;x
opinion_roman_administration_imperial_coronation;Invited to Imperial Coronation;;;;;;;;;;;;;x
opinion_roman_administration_granted_office;Granted Imperial Office;;;;;;;;;;;;;x
opinion_roman_administration_refused_office;Refused Offered Office;;;;;;;;;;;;;x
opinion_roman_administration_fired_from_office;Fired me from Office;;;;;;;;;;;;;x
roman_administration_muster_all_the_tagma;Muster the Tagmas;;;;;;;;;;;;;x
roman_administration_muster_all_the_tagma_desc;War is upon us and it is time to muster the Tagmas to fight the ennemis of Rome.;;;;;;;;;;;;;x
roman_administration_imperial_coronation;Imperial Coronation;;;;;;;;;;;;;x
roman_administration_imperial_coronation_desc;Begin preparation for my Imperial Coronation. As [Root.GetTitle] it is imperative for me to be crowned by the Patriarch of Constantinople in order to legitimize my divine right to rule.;;;;;;;;;;;;;x
roman_administration_set_up_administration;Set up Local Administration;;;;;;;;;;;;;x
roman_administration_set_up_administration_desc;Begin setting up the administration of the newly acquired land,;;;;;;;;;;;;;x
roman_administration_military_government;Roman Military Government;;;;;;;;;;;;;x
roman_administration_civilian_government;Roman Civilian Government;;;;;;;;;;;;;x
roman_administration_family_government;Family Government;;;;;;;;;;;;;x
roman_administration_military_government_desc;A Roman Military Government is a form of organization limited to the Empire of the Romans with a focus on military life and troops management.;;;;;;;;;;;;;x
roman_administration_civilian_government_desc;A Roman Civilian Government is a form of organization limited to the Empire of the Romans with a focus on the administrative management of the Empire from tax collection to justice.;;;;;;;;;;;;;x
roman_administration_family_government_desc;A Roman Family Government is a special government limited to Great Families of the Empire of the Romans.;;;;;;;;;;;;;x
succ_my_test_law;Administrative Clientelism;;;;;;;;;;;;;x
succ_my_test_law_desc;Administrative Clientelism is a form a succession that favors members of a clientele or family members.;;;;;;;;;;;;;x
roman_administration_elective;Administrative Clientelism;;;;;;;;;;;;;x
roman_administration_elective_test;Administrative Clientelism;;;;;;;;;;;;;x
roman_administration_elective_test_2;Administrative Clientelism;;;;;;;;;;;;;x
family_election;Roman Family Succession;;;;;;;;;;;;;x
succ_roman_family_elective_desc;Roman Family Succession;;;;;;;;;;;;;x
crowned_basileus;Crowned by the Patriarch;;;;;;;;;;;;;x
crowned_basileus_desc;This ruler was anointed by the Patriarch of Constantinople. \n A formal coronation ceremony is considered as an essential step in legitimizing the rule of the Emperor.;;;;;;;;;;;;;x
title_strategos_salary;Receives a Strategos Salary;;;;;;;;;;;;;x
title_tagma_salary;Receives a Domestikos Salary;;;;;;;;;;;;;x
gov_roman_administration_military_government;Professional Military;;;;;;;;;;;;;x
gov_roman_administration_civilian_government;Bureaucratic Clientelism;;;;;;;;;;;;;x
gov_roman_administration_family_government;Familial Inheritance;;;;;;;;;;;;;x
EVTDESC_AVE_MARIA_roman_administration_flavour.1;During the military exercise organized;;;;;;;;;;;;;x
EVTOPT_A_AVE_MARIA_roman_administration_flavour;Punish him harshly;;;;;;;;;;;;;x
roman_administration_estates_1;Family Estates;;;;;;;;;;;;;x
roman_administration_organize_military_exercises;Organize Military Exercises;;;;;;;;;;;;;x
roman_administration_organize_military_exercises_desc;Organize Military Exercises with your Tagma troops in order to maintain their discipline and effectiveness in combat;;;;;;;;;;;;;x
