#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MILITARY_THEME_TITLE;Thema [This.GetBaseName];;;;;;;;;;;;;x
FAMILY_COUNT_TITLE;[target_military_theme_holder.GetOnlyDynastyName] Family;;;;;;;;;;;;;x
FAMILY_COUNT_TITLE_HIGH_OFFICE;[target_central_judicial_official_holder.GetOnlyDynastyName] Family;;;;;;;;;;;;;x
family_elective;Family Elective;;;;;;;;;;;;;x
succ_roman_family_elective;Roman Family Succession;;;;;;;;;;;;;x
greek;Rhomaîos;Rhomaîos;Rhomaîos;Rhomaîos;Rhomaîos;;;;;;;;;x
roman_administration_military_government;Roman Military Government;;;;;;;;;;;;;x
roman_administration_civilian_government;Roman Civilian Government;;;;;;;;;;;;;x
roman_administration_family_government;Family Government;;;;;;;;;;;;;x
roman_administration_military_government_desc;A Roman Military Government is a form of organization limited to the Empire of the Romans with a focus on military life and troops management.;;;;;;;;;;;;;x
roman_administration_civilian_government_desc;A Roman Civilian Government is a form of organization limited to the Empire of the Romans with a focus on the administrative management of the Empire from tax collection to justice.;;;;;;;;;;;;;x
roman_administration_family_government_desc;A Roman Family Government is a special government limited to Great Families of the Empire of the Romans.;;;;;;;;;;;;;x
roman_administration_elective;Administrative Clientelism;;;;;;;;;;;;;x
roman_administration_elective_test;Administrative Clientelism;;;;;;;;;;;;;x
roman_administration_elective_test_2;Administrative Clientelism;;;;;;;;;;;;;x
family_election;Roman Family Succession;;;;;;;;;;;;;x
succ_roman_family_elective_desc;Roman Family Succession;;;;;;;;;;;;;x
gov_roman_administration_military_government;Professional Military;;;;;;;;;;;;;x
gov_roman_administration_civilian_government;Bureaucratic Clientelism;;;;;;;;;;;;;x
gov_roman_administration_family_government;Familial Inheritance;;;;;;;;;;;;;x
