#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
roman_administration_estates_1;Family Estates;;;;;;;;;;;;;x
roman_administration_organize_military_exercises;Organize Military Exercises;;;;;;;;;;;;;x
roman_administration_organize_military_exercises_desc;Organize Military Exercises with your Tagma troops in order to maintain their discipline and effectiveness in combat;;;;;;;;;;;;;x
roman_administration_salary_cost;§YSalaries to Military Officials cost§! §R[Root.roman_administration_total_salary_cost.GetValue]§! §Yper month§!.\n We have [global_roman_administration_tagma_king_title_count.GetValue] Tagma Commanders costing [Root.roman_administration_tagma_salary_cost.GetValue] monthly.\n We have [global_roman_administration_strategos_king_title_count.GetValue] Strategos costing [Root.roman_administration_strategos_salary_cost.GetValue] monthly.;;;;;;;;;;;;;x
roman_administration_salary_revenue_10;We receive 10 ducats monthly from our official post.;;;;;;;;;;;;;x
roman_administration_salary_revenue_20;We receive 20 ducats monthly from our official post.;;;;;;;;;;;;;x
roman_administration_terms_of_office_0;Imperial Official;;;;;;;;;;;;;x
roman_administration_terms_of_office_1;First Year of Office;;;;;;;;;;;;;x
roman_administration_terms_of_office_2;Second Year of Office;;;;;;;;;;;;;x
roman_administration_terms_of_office_3;Third Year of Office;;;;;;;;;;;;;x
roman_administration_terms_of_office_4;Fourth Year of Office;;;;;;;;;;;;;x
roman_administration_terms_of_office_5;Fifth Year of Office;;;;;;;;;;;;;x
roman_administration_terms_of_office_0_desc;This character is an official in the roman administration;;;;;;;;;;;;;x
roman_administration_terms_of_office_1_desc;This character is in the first year of his term of office.;;;;;;;;;;;;;x
roman_administration_terms_of_office_2_desc;This character is in the second year of his term of office.;;;;;;;;;;;;;x
roman_administration_terms_of_office_3_desc;This character is in the third year of his term of office.;;;;;;;;;;;;;x
roman_administration_terms_of_office_4_desc;This character is in the fourth year of his term of office.;;;;;;;;;;;;;x
roman_administration_terms_of_office_5_desc;This character is in the fifth year of his term of office.;;;;;;;;;;;;;x
opinion_roman_administration_imperial_coronation;Invited to Imperial Coronation;;;;;;;;;;;;;x
opinion_roman_administration_granted_office;Granted Imperial Office;;;;;;;;;;;;;x
opinion_roman_administration_refused_office;Refused Offered Office;;;;;;;;;;;;;x
opinion_roman_administration_fired_from_office;Fired me from Office;;;;;;;;;;;;;x
