#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
roman_administration_imperial_court;Roman Administration;;;;;;;;;;;;;x
roman_administration_imperial_court_desc;The Roman Administration manages and rules the Empire of the Romans;;;;;;;;;;;;;x
roman_administration_imperial_court_leader_desc;The Emperor is the leader of the administration of the Empire;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_5_male;Basileus;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_5_female;Basileia;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_4_male;High Official;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_4_female;High Official;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_3_male;Noble in the Capital;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_3_female;Noble in the Capital;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_2_male;Provincial Official;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_2_female;Provincial Official;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_1_male;Imperial Bureaucrat;;;;;;;;;;;;;x
roman_administration_imperial_court_rank_1_female;Imperial Bureaucrat;;;;;;;;;;;;;x
currency_name_roman_administration_imperial_court;Influence;;;;;;;;;;;;;x
