# -*- ck2.history.provinces -*-

# 1153 - Zemplen

# County Title
title = c_zemplen

# Settlements
max_settlements = 5

b_ungvar = tribal
b_zemplen = city
#b_szerencs = temple
b_borsovahungary = city
#b_karcsa = city
#b_lelesz = castle
#b_varanno = city
#b_onod = castle
#b_satoraljaujhely = castle
#b_gereny = castle
#b_szobranc = city
#b_nagykapos = city
#b_nagyszolos = castle
#b_tiszaujlak = temple
#b_mandok = temple

# Misc
culture = russian # White Croats
religion = catholic

# History

1033.1.1 = { b_ungvar = castle }
