# -*- ck2.history.provinces -*-

# 464 - Vas

# County Title
title = c_vas

# Settlements
max_settlements = 4

b_zalavar = tribal
#b_keszthely = city
#b_szentgrot = temple

#b_egerszeg = castle
#b_kanizsa = castle
#b_csobanc = castle
#b_sumeg = castle

# Misc
culture = carantanian
religion = catholic

# History

950.1.1 = { 
	culture = old_hungarian 
	religion = tengri_pagan 
}
1005.1.1 = { 
	b_zalavar = castle
	b_szentgrot = temple
	b_egerszeg = city
	religion = catholic
	culture = hungarian
}
