#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### ERA NAMES;;;;;;;;;;;;;;x
BM_JERUSALEM_ERA;Jerusalem At Its Height;Jerusalem à son apogée;;;;;;;;;;;;x
BM_THE_LATIN_EMPIRE_ERA;The Fourth Crusade;La quatrième croisade;;;;;;;;;;;;x
#### ERA BOOKMARK: The Old Gods;;;;;;;;;;;;;;x
ERA_JORVIK;Jorvík;;;;;;;;;;;;;x
ERA_HOLMGARDR;Holmgarðr;;;;;;;;;;;;;x
ERA_CHAR_NAME_1700;Basileios I;Basileios Ier;Basileios I.;;;;;;;;;;;x
ERA_CHAR_INFO_90104;When Louis the Pious died, civil war broke out in the Carolingian Empire between his sons due to disagreements over the inheritance. In the settlement that followed the war, Charles was given West Francia. Once Lothair died, however, the balance of power was broken and Charles fought long and bitterly with his brother Ludwig over primacy and over the lands that Lothair had left behind. After Ludwig's death, Charles tried to make a grab for the German lands, but he died during the resulting war in 877 while crossing the Alps.;À la mort de Louis le Pieux, une guerre civile éclate dans l'empire carolingien entre ses fils en raison de désaccords au sujet de l'héritage. Dans le traité qui suit la guerre, Charles reçoit la Francie occidentale. À la mort de Lothaire, cependant, l'équilibre des pouvoirs est rompu et Charles mène une longue et féroce guerre contre son frère Louis pour obtenir l'ascendant ainsi que les terres laissées par Lothaire. Après la mort de Louis, Charles tente de s'emparer des terres germaniques mais meurt dans le conflit qui en résulte l'année 877, alors qu'il traversait les Alpes.;Der Tod Ludwigs des Frommen stürzte das Reich der Karolinger in den Bürgerkrieg, da seine Söhne keine Einigung bezüglich seines Erbes erzielen konnten. Als die Brüder Frieden schlossen, wurde Karl Westfranken zugesprochen. Nach dem Tode Lothars allerdings musste Karl erneut um sein Erbe kämpfen, dieses Mal gegen seinen Bruder Ludwig. Nachdem schließlich auch Ludwig gestorben war, versuchte Karl erneut, die deutschen Gebiete unter seine Kontrolle zu bringen, starb jedoch während des daraus resultierenden Krieges im Jahre 877 beim Marsch durch die Alpen.;;Cuando Ludovico Pío murió, estalló la guerra civil en el Imperio Carolingio entre sus hijos debido a las diferencias que tenían sobre la herencia. En el acuerdo posterior a la Guerra, Carlos recibió Francia Occidental. Sin embargo, una vez muerto Lotario, el equilibrio de poder se rompió y Carlos luchó amarga y largamente con su hermano Luís por la supremacía y por las tierras que Lotario había dejado. Después de la muerte de Luís, Carlos trató de asaltar las tierras germanas, pero murió durante la guerra resultante en el año 877 mientras cruzaba los Alpes.;;;;;;;;;x
#### ERA BOOKMARK: Stamford Bridge;;;;;;;;;;;;;;x
ERA_CHAR_NAME_122;Hereweald Godwineson;;Hereweald II.;;Hereweald II de Englaland;;;;;;;;;x
ERA_CHAR_INFO_122; ;;;;;;;;;;;;;x
ERA_ENGLALAND;Englaland;;;;;;;;;;;;;x
#### ERA BOOKMARK: Jerusalem at Its Height;;;;;;;;;;;;;;x
#BM_JERUSALEM;Jerusalem at Its Height;;;;Jerusalén en la cima;;;;;;;;;x
#BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;;;Jerusalén se alza fuerte y orgullosa. Ha absorbido el reino de Antioquía y se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza del reino son una ventaja para el dominio católico del Levante, aún no hay nada seguro. Damasco y Alepo hacen de colchón frente al masivo Sultanato Selúcida al Este, mientras el Califato Fatimid saca partido al debilitado Egipto. Jerusalén tiene muchos enemigos, y sus aliados están lejos. En la lejanía se oye el grito de la Jihad...;;;;;;;;;x
BM_JERUSALEM_ERA_INFO;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;;;Jerusalén se alza fuerte y orgullosa. Ha absorbido el reino de Antioquía y se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza del reino son una ventaja para el dominio católico del Levante, aún no hay nada seguro. Damasco y Alepo hacen de colchón frente al masivo Sultanato Selúcida al Este, mientras el Califato Fatimid saca partido al debilitado Egipto. Jerusalén tiene muchos enemigos, y sus aliados están lejos. En la lejanía se oye el grito de la Jihad...;;;;;;;;;x
ERA_CHAR_NAME_232007;Baudouin II of Jerusalem;Baudouin II de Jérusalem;Baudouin II.;;Baudouin II de Jerusalén;;;;;;;;;x
ERA_CHAR_INFO_232007; ;;;;;;;;;;;;;x
ERA_CHAR_NAME_216517;Davit IV of Sakartvelo;Davit IV de Sakartvelo;Davit IV. von Sakartvelo;;Davit IV de Sakartvelo;;;;;;;;;x
ERA_CHAR_INFO_216517; ;;;;;;;;;;;;;x
ERA_CHAR_NAME_32905;Al-Amir bi-Ahkami'l-Lah;Mansur al-Amir Bi-Ahkamillah;al-Amir;;Al-Amir Bi-Ahkamillah;;;;;;;;;x
ERA_CHAR_INFO_32905; ;;;;;;;;;;;;;x
ERA_CHAR_NAME_93435;Toghtekin;Tughtekin;Tugtakin;;;;;;;;;;;x
ERA_CHAR_INFO_93435; ;;;;;;;;;;;;;x
ERA_CHAR_NAME_34249;Timurtash;Temür Tash;Timurtasch;;;;;;;;;;;x
ERA_CHAR_INFO_34249; ;;;;;;;;;;;;;x
ERA_CHAR_NAME_231012;Joscelin I, Comte of Edessa;Josselin Ier d'Édesse;Joscelin I.;;Joscelino I de Edesa;;;;;;;;;x
ERA_CHAR_INFO_231012; ;;;;;;;;;;;;;x
#### ERA BOOKMARK: The Latin Empire;;;;;;;;;;;;;;x
