#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCSWMH.0;For as long as have ruled here we the Turkic nomads have entrusted the raising of our children to Iranian nursemaids. Our first words would not be Turkic but Iranian. As we grew up we learned to speak a tongue that was neither one nor the other. Now is this time to make this tongue our own so we may all communicate.;Depuis que nous régnons ici, nous les Turcs, nous confions l’éducation de nos enfants à des gouvernantes iraniennes. Nos premiers mots ne sont pas du turc mais du iraniane. Et en grandissant, nous apprenons à parler une langue qui n’est ni l’une ni l’autre. Il est temps de nous approprier cette langue afin que nous puissions tous communiquer.;Während meiner gesamten Herrschaft hier haben wir Turkomannen das Aufziehen unserer Kinder iranischen Kindermädchen anvertraut. Unsere ersten Worte waren kein Türkisch, sondern Iranisch. Beim Heranwachsen lernten wir eine Sprache, die dazwischen lag. Jetzt ist es an der Zeit, uns diese Sprache zu eigen zu machen, damit wir alle kommunizieren können.;;Mientras hemos gobernado aquí, los turcos hemos confiado la educación de nuestros hijos a niñeras iranias. Nuestras primeras palabras no fueron turcas, sino iranias. A medida que crecíamos aprendimos a hablar una lengua que no era ni una ni otra. Ahora es el momento de hacer nuestra esta lengua para que todos nos comuniquemos.;;;;;;;;;x
EVTOPTASWMH.0;Yes let us be one with our serfs;Oui, ne faisons qu’un avec nos serfs !;Jawohl, lasst uns eins mit unseren Leibeigenen sein;;Sí, seamos uno con nuestros vasallos;;;;;;;;;x
EVTDESCSWMH.1;Around our lands more people are using this Türkmen language and I find this is a perfect means for a Turkic overlord to get his Iranian serfs to work properly. We continue to use our own influence to promote this means of communication in the interests of more efficient realm.;Sur nos terres, un nombre croissant de gens parlent turkmen, ce qui me semble être un moyen idéal pour un Seigneur turc de faire travailler convenablement ses serfs iraniens. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du Royaume et à asseoir sa puissance.;Um unser Territorium herum sprechen immer mehr Leute diese turkmenische Sprache. Für einen türkische Oberherrn ist sie meiner Meinung nach ein perfektes Mittel, iranische Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;Cada vez hay más gente en nuestras tierras que usan el turkmen, algo que considero perfecto para que un señor turco haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente.;;;;;;;;;x
EVTOPTASWMH.1;We are indeed wise;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESCSWMH.2;Although every civilised man knows that Persian is the true language of communication, this new Türkmen language does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;Bien que tous les hommes civilisés sachent que le farsi est la vraie langue de la communication, cette nouvelle langue turcmen s’avère très commode. J’ai donc eu gain de cause sur un membre de ma Cour afin qu’elle soit adoptée pour l’emploi administratif quotidien.;Obwohl jeder zivilisierte Mann weiß, dass Persisch die einzig wahre Kommunikationsform ist, hat diese neue türkmenische Sprache auch einen gewissen Nutzen. Aus diesem Grund habe ich ein Mitglied meines Hofes dazu gedrängt, sie für das tägliche Verwaltungsgeschäft zu übernehmen.;;Aunque todos los hombres civilizados saben que el farsi es la verdadera lengua de comunicación, el nuevo idioma turcmen tiene cierta funcionalidad. He convencido a un miembro de mi corte de que lo adopte como lengua administrativa de uso cotidiano.;;;;;;;;;x
EVTOPTASWMH.2;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESCSWMH.3;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my vassals round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Sur nos terres, un nombre croissant de gens parlent turkmen, ce qui me semble être un moyen idéal pour un Seigneur turc de faire travailler convenablement ses serfs iraniens. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du Royaume et à asseoir sa puissance.;Um unser Territorium herum sprechen immer mehr Leute diese turkmenische Sprache. Für einen türkische Oberherrn ist sie meiner Meinung nach ein perfektes Mittel, iranische Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;Cada vez hay más gente en nuestras tierras que usan el turkmen, algo que considero perfecto para que un señor turco haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente.;;;;;;;;;x
EVTOPTASWMH.3;Sometimes I even surprise myself;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESCSWMH.4;My liege has persuaded me to embrace this notion of Turkicness that is sweeping the realm.;Mon suzerain m’a convaincu(e) d’embrasser cette notion de turkmenité qui balaie le Royaume.;Mein Lehnsherr hat mich überredet, diese Idee des Türkmentums zu übernehmen, die sich im ganzen Reich ausbreitet;;Mi señor me ha convencido de que abrace esta cultura turkmena que recorre el reino.;;;;;;;;;x
EVTOPTASWMH.4;Oh I say, game of polo anyone?;Une partie de polo pour tout le monde ?;Oh, wie wäre es mit einem Ründchen Polo?;;¿Alguien quiere jugar al polo?;;;;;;;;;x
EVTDESCSWMH.5;For as long as have ruled here we have entrusted the raising of our children to muslim nursemaids. Our first words would not be old Iranian but Tajik. As we grew up we learned to speak a tongue that was neither one nor the other. Now is this time to make this tongue our own so we may all communicate.;Depuis que nous régnons ici, nous nous confions l’éducation de nos enfants à des gouvernantes musulmannes. Nos premiers mots ne sont pas du ancienne iranienne mais du tajik. Et en grandissant, nous apprenons à parler une langue qui n’est ni l’une ni l’autre. Il est temps de nous approprier cette langue afin que nous puissions tous communiquer.;Während meiner gesamten Herrschaft hier haben wir das Aufziehen unserer Kinder islamischen Kindermädchen anvertraut. Unsere ersten Worte waren kein Alt Iranisch, sondern Tajik. Beim Heranwachsen lernten wir eine Sprache, die dazwischen lag. Jetzt ist es an der Zeit, uns diese Sprache zu eigen zu machen, damit wir alle kommunizieren können.;;Mientras hemos gobernado aquí, hemos confiado la educación de nuestros hijos a niñeras islamicas. Nuestras primeras palabras no fueron ancien iranias, sino tajik. A medida que crecíamos aprendimos a hablar una lengua que no era ni una ni otra. Ahora es el momento de hacer nuestra esta lengua para que todos nos comuniquemos.;;;;;;;;;x
EVTOPTASWMH.5;Yes let us be one with our serfs;Oui, ne faisons qu’un avec nos serfs !;Jawohl, lasst uns eins mit unseren Leibeigenen sein;;Sí, seamos uno con nuestros vasallos;;;;;;;;;x
EVTDESCSWMH.6;Around our lands more people are embracing Islam using this Tajik language and I find this is a perfect means for a Muslim overlord to get his serfs to work properly. We continue to use our own influence to promote this means of communication in the interests of more efficient realm.;Sur nos terres, un nombre croissant de gens embracement Islam parlent tajik, ce qui me semble être un moyen idéal pour un Seigneur musulman de faire travailler convenablement ses serfs. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du Royaume et à asseoir sa puissance.;Um unser Territorium herum sprechen immer mehr Leute diese Tajik Sprache. Für einen islamische Oberherrn ist sie meiner Meinung nach ein perfektes Mittel, Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;Cada vez hay más gente en nuestras tierras que usan el tajik, algo que considero perfecto para que un señor islamico haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente.;;;;;;;;;x
EVTOPTASWMH.6;We are indeed wise;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESCSWMH.7;Although every civilised man knows that Old Soghdian is the true language of communication, this new Tajik language does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;Bien que tous les hommes civilisés sachent que le soghdi ancienne est la vraie langue de la communication, cette nouvelle langue tajik s’avère très commode. J’ai donc eu gain de cause sur un membre de ma Cour afin qu’elle soit adoptée pour l’emploi administratif quotidien.;Obwohl jeder zivilisierte Mann weiß, dass Alt Soghdianische die einzig wahre Kommunikationsform ist, hat diese neue Tajik Sprache auch einen gewissen Nutzen. Aus diesem Grund habe ich ein Mitglied meines Hofes dazu gedrängt, sie für das tägliche Verwaltungsgeschäft zu übernehmen.;;Aunque todos los hombres civilizados saben que el sogdiano es la verdadera lengua de comunicación, el nuevo idioma tajik tiene cierta funcionalidad. He convencido a un miembro de mi corte de que lo adopte como lengua administrativa de uso cotidiano.;;;;;;;;;x
EVTOPTASWMH.7;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESCSWMH.8;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my vassals round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Sur nos terres, un nombre croissant de gens parlent tajik, ce qui me semble être un moyen idéal pour un Seigneur turc de faire travailler convenablement ses serfs iraniens. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du Royaume et à asseoir sa puissance.;Um unser Territorium herum sprechen immer mehr Leute diese tajik Sprache. Für einen takikische Oberherrn ist sie meiner Meinung nach ein perfektes Mittel, alte iranische Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;Cada vez hay más gente en nuestras tierras que usan el tajik, algo que considero perfecto para que un señor tajik haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente.;;;;;;;;;x
EVTOPTASWMH.8;Sometimes I even surprise myself;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESCSWMH.9;My liege has persuaded me to embrace this notion of Tajikness that is sweeping the realm.;Mon suzerain m’a convaincu(e) d’embrasser cette notion de tajikité qui balaie le Royaume.;Mein Lehnsherr hat mich überredet, diese Idee des Tajiktums zu übernehmen, die sich im ganzen Reich ausbreitet;;Mi señor me ha convencido de que abrace esta cultura tajika que recorre el reino.;;;;;;;;;x
EVTOPTASWMH.9;Oh I say, game of polo anyone?;Une partie de polo pour tout le monde ?;Oh, wie wäre es mit einem Ründchen Polo?;;¿Alguien quiere jugar al polo?;;;;;;;;;x
EVTDESCSWMH.10;The Franconians, Bavarians, Swabians and Thuringians people have developed their language and customs to a point where they may now be considered part of a new branch of the Germanic culture. They have begun to refer to themselves as High Germans.;Les Francs, Bavarois, Souabes et Thuringes ont développé ses langues et ses coutumes à un point tel qu'ils sont maintenant considéré comme une nouvelle branche de la culture germanique. Ses gens ont commencé à se définir en tant que Haut-Allemands.;Die Franken, Baiern, Schwaben und Thüringer haben ihre Kultur und Sprache soweit entwickelt dass sie nun als ein neuer Zweig der germanischen Kultur betrachtet werden können. Sie haben begonnen sich selbst als Hochdeutschen zu bezeichnen.;;Los Francos, Bávaros, Suabios y Turingios tu han desarrollado su idioma y sus costumbres hasta el punto en que ahora pueden ser considerados parte de una nueva rama de la cultura Germánica. Han comenzado a referirse a sí mismos como Alto Alemanes.;;;;;;;;;x
EVTOPTASWMH.10;Welcome into the fold my High German brothers and sisters.;Bienvenue au bercail mes frères et sœurs haut-allemand.;Willkommen im Schoß der Familie meine hochdeutschen Brüder und Schwestern.;;Bienvenidos al redil mis hermanos y hermanas Alto Alemanos.;;;;;;;;;x
EVTDESCSWMH.11;Around our lands more people are using this High German language and I find this is a perfect means for a overlord to get his serfs to work properly. We continue to use our own influence to promote this means of communication in the interests of more efficient realm.;Sur nos terres, un nombre croissant de gens parlent haut-allemand, ce qui me semble être un moyen idéal pour un Seigneur de faire travailler convenablement ses serfs. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du Royaume et à asseoir sa puissance.;Um unser Territorium herum sprechen immer mehr Leute diese hochdeutsche Sprache. Für einen Oberherrn ist sie meiner Meinung nach ein perfektes Mittel, Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;Cada vez hay más gente en nuestras tierras que usan el alto alemán, algo que considero perfecto para que un señor haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente.;;;;;;;;;x
EVTOPTASWMH.11;We are indeed wise;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
