#Player/Pretender Empire Dynasties
e_china_tang;Tang;;;;;;;;;;;;;x
e_china_jin;Kim;;;;;;;;;;;;;x
e_china_wei;Ngui;;;;;;;;;;;;;x
e_china_qi;Tsei;;;;;;;;;;;;;x
e_china_zhou;Chiu;;;;;;;;;;;;;x
e_china_han;Han;;;;;;;;;;;;;x
e_china_qin;Ch'in;;;;;;;;;;;;;x
e_china_yan;Ngim;;;;;;;;;;;;;x
e_china_zhao;Ts'ieu;;;;;;;;;;;;;x
e_china_liao;Lieu;;;;;;;;;;;;;x
e_china_yuan;Nguan;;;;;;;;;;;;;x
e_china_xia;H'a;;;;;;;;;;;;;x
e_china_qing;Ts'ieng;;;;;;;;;;;;;x
e_china_dai;Tai;;;;;;;;;;;;;x
e_china_cheng;Tsieng;;;;;;;;;;;;;x
e_china_liang;Ling;;;;;;;;;;;;;x
e_china_song;Sung;;;;;;;;;;;;;x
e_china_ming;Ming;;;;;;;;;;;;;x
e_china_shu;Tsuk;;;;;;;;;;;;;x
e_china_wu;Ngo;;;;;;;;;;;;;x
e_china_chu;Ch'iu;;;;;;;;;;;;;x
e_china_yue;Huêt;;;;;;;;;;;;;x
e_china_yin;Yin;;;;;;;;;;;;;x
e_china_shun;Jun;;;;;;;;;;;;;x
#Chinese Empire Dynasties
tang_china;Tang;Chine Tang;;;;;;;;;;;;x
jin_china;Kim;Chine Kim;;;;;;;;;;;;x
wei_china;Ngui;Chine Ngui;;;;;;;;;;;;x
qi_china;Tsei;Chine Tsei;;;;;;;;;;;;x
zhou_china;Chiu;Chine Chiu;;;;;;;;;;;;x
han_china;Han;Chine Han;;;;;;;;;;;;x
qin_china;Ch'in;Chine Ch'in;;;;;;;;;;;;x
yan_china;Ngim;Chine Ngim;;;;;;;;;;;;x
zhao_china;Ts'ieu;Chine Ts'ieu;;;;;;;;;;;;x
liao_china;Lieu;Chine Lieu;;;;;;;;;;;;x
yuan_china;Nguan;Chine Nguan;;;;;;;;;;;;x
xia_china;H'a;Chine H'a;;;;;;;;;;;;x
qing_china;Ts'ieng;Chine Ts'ieng;;;;;;;;;;;;x
dai_china;Tai;Chine Tai;;;;;;;;;;;;x
cheng_china;Tsieng;Chine Tsieng;;;;;;;;;;;;x
liang_china;Ling;Chine Ling;;;;;;;;;;;;x
song_china;Sung;Chine Sung;;;;;;;;;;;;x
ming_china;Ming;Chine Ming;;;;;;;;;;;;x
shu_china;Tsuk;Chine Tsuk;;;;;;;;;;;;x
wu_china;Ngo;Chine Ngo;;;;;;;;;;;;x
chu_china;Ch'iu;Chine Ch'iu;;;;;;;;;;;;x
yue_china;Huêt;Chine Huêt;;;;;;;;;;;;x
yin_china;Yin;Chine Yin;;;;;;;;;;;;x
shun_china;Jun;Chine Jun;;;;;;;;;;;;x
mongol_china;Yeke Mongol Ulus;;;;;;;;;;;;;x
