#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aachen_adj;Aachener;;;;;;;;;;;;;x
c_aalst_adj;Aalster;;;;;;;;;;;;;x
c_aargau_adj;Aargauer;aargauer;;;;;;;;;;;;x
c_abensberg_adj;Abensberger;;;;;;;;;;;;;x
c_abivard_adj;Abivardi;;;;;;;;;;;;;x
c_absheron_adj;Abšarani;;;;;;;;;;;;;x
c_abuhammad_adj;Abuhammadan;;;;;;;;;;;;;x
c_abydos_adj_oghuz;Canakkalan;Canakkale;;;;;;;;;;;;x
c_abydos_adj_turkish;Canakkalan;Canakkale;;;;;;;;;;;;x
c_abydos_adj_turkmen;Canakkalan;Canakkale;;;;;;;;;;;;x
c_achaia_adj_central_italian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_corsican;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_dalmatian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_frankish;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_greek;Achaian;Achaia;;;;;;;;;;;;x
c_achaia_adj_italian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_ligurian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_neapolitan;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_norman;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_oghuz;Ahayan;Ahaya;;;;;;;;;;;;x
c_achaia_adj_sardinian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_sicilian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_southern_italian;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_turkish;Ahayan;Ahaya;;;;;;;;;;;;x
c_achaia_adj_turkmen;Ahayan;Ahaya;;;;;;;;;;;;x
c_achaia_adj_tuscan;Achaian;Achaïe;;;;;;;;;;;;x
c_achaia_adj_venetian;Achaian;Achaïe;;;;;;;;;;;;x
c_acre_adj_andalusian_arabic;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_bedouin_arabic;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_egyptian_arabic;Akkan;Akka;;;;;;;;;;;;x
