#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
#New provinces;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV909;White Desert;Désert Blanc;;;;;;;;;;;;x
PROV911;Timbuktu;;;;;;;;;;;;;x
PROV912;Awdaghust;Aoudaghost;;;;;;;;;;;;x
PROV913;Wagadu;Ouagadou;;;;;;;;;;;;x
PROV914;Gao;;;;;;;;;;;;;x
PROV915;Jenné;;;;;;;;;;;;;x
PROV916;Taghaza;;;;;;;;;;;;;x
PROV917;Arawán;Araouane;Araouán;;Araouán;;;;;;;;;x
PROV918;Sijilmása;;;;;;;;;;;;;x
PROV919;Walata;Oualata;;;;;;;;;;;;x
PROV920;Wadán;Ouadane;;;;;;;;;;;;x
PROV921;Idjil;;;;;;;;;;;;;x
PROV922;Tadmekka;;;;;;;;;;;;;x
PROV923;Adrar Plateau;;;;;;;;;;;;;x
PROV924;Western Sahara;Sahara Occidental;;;;;;;;;;;;x
PROV925;Manding;;;;;;;;;;;;;x
PROV926;Bambuk;;;;;;;;;;;;;x
PROV927;Zarma;;;;;;;;;;;;;x
PROV928;Gurma;;;;;;;;;;;;;x
#PROV929;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;x;;;;
#PROV930;Bar;;;;;;;;;;;;;x
PROV931;Möre;;;;;;;;;;;;;x
PROV932;Värend;;;;;;;;;;;;;x
PROV933;Roslavl;;;;;;;;;;;;;x
PROV934;Logozsk;;;;;;;;;;;;;x
#PROV935;Amalfi;Amalfi;Amalfi;;Amalfi;;;;;x;;;;
PROV936;Hvar;;;;;;;;;;;;;x
#PROV937;Marsico;Marsico;Marsico;;Marsico;;;;;x;;;;
PROV938;Polimlje;;;;;;;;;;;;;x
#PROV939;Phrygía;Phrygía;Phrygía;;Phrygía;;;;;x;;;;
PROV940;Mosynopolis;;;;;;;;;;;;;x
#PROV941;Amaseia;Amaseia;Amaseia;;Amaseia;;;;;x;;;;
#PROV942;Saarbrücken;;;;;;;;;;;;;x
PROV943;Knin;;;;;;;;;;;;;x
#PROV944;Brac;Brac;Brac;;Brac;;;;;x;;;;
PROV945;Ceredigion;;;;;;;;;;;;;x
PROV946;Ystrad Tywi;;;;;;;;;;;;;x
PROV947;Brycheiniog;;;;;;;;;;;;;x
#PROV948;Gleiberg;;;;;;;;;;;;;x
PROV949;Powys Wenwynwyn;;;;;;;;;;;;;x
PROV950;Ellæmsysæl;;;;;;;;;;;;;x
#PROV951;Schwerin;;;;;;;;;;;;;x
#PROV952;Hanau;;;;;;;;;;;;;x
#PROV953;Bentheim;;;;;;;;;;;;;x
#PROV954;Zeitz;;;;;;;;;;;;;x
#PROV955;Augsburg;;;;;;;;;;;;;x
#PROV956;;;;;;;;;;;;;;
#PROV957;Reggio nell Emilia;Reggio nell Emilia;Reggio nell Emilia;;Reggio nell Emilia;;;;;x;;;;
#PROV958;Duino;;;;;;;;;;;;;x
PROV959;Vodica;;;;;;;;;;;;;x
#PROV960;Wertheim;;;;;;;;;;;;;x
PROV961;Branicevo;;;;;;;;;;;;;x
PROV962;Braslaw;;;;;;;;;;;;;x
PROV963;Jersika;;;;;;;;;;;;;x
PROV964;Richmond;;;;;;;;;;;;;x
PROV965;Travunija;;;;;;;;;;;;;x
PROV966;Vorotynsk;;;;;;;;;;;;;x
PROV967;Cerdanya;;;;;;;;;;;;;x
PROV968;Saone;;;;;;;;;;;;;x
#PROV969;Sision;Sision;Sision;;Sision;;;;;x;;;;
#PROV970;Sulzbach;;;;;;;;;;;;;x
#PROV971;Philadelpheia;Philadelpheia;Philadelpheia;;Philadelpheia;;;;;x;;;;
#PROV972;Pitten;;;;;;;;;;;;;x
PROV973;Bearroc;;;;;;;;;;;;;x
PROV974;Buckingham;;;;;;;;;;;;;x
PROV975;Brega;;;;;;;;;;;;;x
PROV976;Moylurg;;;;;;;;;;;;;x
#PROV977;Waldburg;;;;;;;;;;;;;x
#PROV978;Landsberg;;;;;;;;;;;;;x
PROV979;Deltuva;;;;;;;;;;;;;x
#PROV980;Everstein;;;;;;;;;;;;;x
#PROV981;Truhendingen;;;;;;;;;;;;;x
#PROV982;Prignitz;;;;;;;;;;;;;x
PROV983;Isle of Ely;;;;;;;;;;;;;x
PROV984;Järva;;;;;;;;;;;;;x
PROV985;Sèlija;;;;;;;;;;;;;x
PROV986;Metsepole;;;;;;;;;;;;;x
PROV987;Rotalia;;;;;;;;;;;;;x
PROV988;Atzele;;;;;;;;;;;;;x
PROV989;Trakai;;;;;;;;;;;;;x
PROV990;Dzùkija;;;;;;;;;;;;;x
PROV991;Chelm;;;;;;;;;;;;;x
PROV992;Upytë;;;;;;;;;;;;;x
PROV993;Belz;;;;;;;;;;;;;x
