#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
#Norwegian;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV271;Vestfold;;;;;;;;;;;;;x
PROV272;Vingulmörk;;;;;;;;;;;;;x
PROV296;Ránríki;;;;;;;;;;;;;x
PROV270;Þelamørk;;;;;;;;;;;;;x
PROV268;Egðafylki;;;;;;;;;;;;;x
PROV274;Horðaland;;;;;;;;;;;;;x
PROV269;Rygjafylki;;;;;;;;;;;;;x
PROV391;Norðmœri;;;;;;;;;;;;;x
PROV275;Ytriþrœndalóg;;;;;;;;;;;;;x
PROV278;Hereyja;;;;;;;;;;;;;x
PROV277;Naumdœlfylki;;;;;;;;;;;;;x
PROV389;Rauðeyja;;;;;;;;;;;;;x
PROV276;Heiðmørk;;;;;;;;;;;;;x
PROV282;Jamtaland;;;;;;;;;;;;;x
PROV284;Herjárdalr;;;;;;;;;;;;;x
PROV273;Hringaríki;;;;;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Danish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV6;Blekyngh;;;;;;;;;;;;;x
PROV264;Istathesysæl;;;;;;;;;;;;;x
PROV265;Fyun;;;;;;;;;;;;;x
PROV266;Nørræ Syaland;;;;;;;;;;;;;x
PROV267;Abosysæl;;;;;;;;;;;;;x
PROV302;Syndræ Halland;;;;;;;;;;;;;x
PROV303;Væstær Skane;;;;;;;;;;;;;x
PROV305;Burghændæholm;;;;;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Swedish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV298;Njudung;;;;;;;;;;;;;x
PROV294;Nerike;;;;;;;;;;;;;x
PROV297;Lödöse;;;;;;;;;;;;;x
PROV288;Värmilland;;;;;;;;;;;;;x
PROV285;Alir;;;;;;;;;;;;;x
PROV283;Sunded;;;;;;;;;;;;;x
PROV280;Norrland;;;;;;;;;;;;;x
PROV290;Tiundaland;;;;;;;;;;;;;x
PROV292;Södermanland;;;;;;;;;;;;;x
PROV293;Östergötland;;;;;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Poland;;;;;;;;;;;;;;########################################;;;;;;;;;;;;;;
PROV529;Plock;;;;;;;;;;;;;x
PROV530;Czersk;;;;;;;;;;;;;x
PROV1314;Rawa;;;;;;;;;;;;;x
PROV431;Poznan;;;;Poznán;;;;;;;;;x
PROV429;Gniezno;Gnesne;;;;;;;;;;;;x
PROV432;Kalisz;;;;;;;;;;;;;x
PROV527;Krakow;Cracovie;Krakau;;Cracovia;;;;;;;;;x
PROV532;Sandec;;;;;;;;;;;;;x
PROV528;Sieradz;;;;;;;;;;;;;x
PROV1315;Leczyca;;;;;;;;;;;;;x
PROV531;Sandomierz;;;;;;;;;;;;;x
PROV996;Wislica;;;;;;;;;;;;;x
PROV435;Glogów;;;;;;;;;;;;;x
PROV434;Wroclaw;;;;;;;;;;;;;x
PROV433;Opole;;;;;;;;;;;;;x
PROV999;Legnica;;;;;;;;;;;;;x
PROV526;Racibórz;;;;;;;;;;;;;x
PROV1055;Inowroclaw;;;;;;;;;;;;;x
PROV428;Brzesc;;;;;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Balkans;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV459;Krk;;;;;;;;;;;;;x
PROV460;Zagorje;;;;;;;;;;;;;x
PROV462;Vukova;;;;;;;;;;;;;x
PROV463;Usora;;;;;;;;;;;;;x
PROV464;Lika;;;;;;;;;;;;;x
PROV466;Podgorje;;;;;;;;;;;;;x
PROV502;Raška;;;;;;;;;;;;;x
PROV503;Podrinje;;;;;;;;;;;;;x
PROV504;Rama;;;;;;;;;;;;;x
PROV465;Zadar;;;;;;;;;;;;;x
PROV467;Cetina;;;;;;;;;;;;;x
PROV505;Belgrad;;;;;;;;;;;;;x
PROV469;Duklja;;;;;;;;;;;;;x
PROV507;Kran;;;;;;;;;;;;;x
PROV498;Zagore;;;;;;;;;;;;;x
PROV493;Plovdiv;;;;;;;;;;;;;x
PROV495;Selymbria;;;;;;;;;;;;;x
PROV508;Preslav;;;;;;;;;;;;;x
PROV500;Sredets;;;;;;;;;;;;;x
PROV499;Tarnovo;;;;;;;;;;;;;x
PROV501;Niš;;;;;;;;;;;;;x
PROV471;Ohrid;;;;;;;;;;;;;x
PROV494;Adrianopol;;;;;;;;;;;;;x
PROV468;Dubrovnik;;;;;;;;;;;;;x
PROV510;Konstanta;;;;;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#German territories;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
#####Frisia
#Holland
PROV80;Holland;;;;;;;;;;;;;x
PROV79;Zeeland;;;;;;;;;;;;;x
PROV82;Sticht;;;;;;;;;;;;;x
#Friesland
PROV84;Friesland;;;;;;;;;;;;;x
PROV81;Westfriesland;;;;;;;;;;;;;x
PROV85;Ostfriesland;;;;;;;;;;;;;x
#Gelre;;;;;;;;;;
PROV83;Wassenberg;;;;;;;;;;;;;x
PROV1017;Hamaland;;;;;;;;;;;;;x
PROV1058;Zutphen;;;;;;;;;;;;;x
PROV1059;Oversticht;;;;;;;;;;;;;x
#####Lower Lorraine
#Brabant;;;;;;;;;;;;
PROV117;Leuven;;;;;;;;;;;;;x
PROV1019;Brussel;;;;;;;;;;;;;x
